v1 v2
15312 27590
292 8167
35522 35794
22817 32941
17372 26999
2492 17481
4144 46588
24096 40492
3653 40763
1128 2054
9954 40869
4534 4543
8675 23195
14283 44755
5585 6991
29812 32525
24983 26431
6221 27064
12573 20320
22262 22611
1615 38731
21722 35582
30963 33037
24821 26673
714 726
24822 37493
26432 27189
2241 8505
6827 8581
6220 7661
4791 18365
11725 11727
2081 12260
42562 49325
423 11184
7365 8090
17760 37700
37532 51686
3866 3929
5225 18202
21159 38101
24760 33992
84 7317
19159 26332
25605 27249
1103 5119
31889 36788
6735 27206
19856 30304
3867 14878
2942 5694
25785 29443
10796 36118
33635 40472
2378 43877
20126 22298
20653 31021
7211 13822
18935 28939
17046 17050
24104 31349
28530 39482
821 4222
14885 27406
20246 33545
8923 11985
9455 18941
40477 56855
3909 4960
7727 30089
9202 32338
9481 24324
26035 27210
11788 14069
24109 25185
1602 11347
20170 30833
19041 34839
16586 34514
7645 9686
7248 11734
654 7937
5200 5915
6118 12610
13937 26841
8419 16038
15212 20209
21980 27048
10105 30229
22547 25142
24436 36073
5088 19682
11022 11382
554 59333
8987 51841
23069 32701
21927 33613
5651 14203
47120 48604
27041 27525
7211 7248
6004 6007
3589 11786
2809 6577
9093 9095
5872 43517
37135 40511
214 13326
6313 15671
9230 9914
18338 34819
5212 7854
25286 25293
8336 9108
17822 28627
35945 39570
15929 24323
5187 12910
6047 6049
14283 34858
7530 10270
8634 13462
8615 19544
1996 30886
12039 24146
23595 30441
5535 17580
19487 20347
12040 26674
14367 37090
16301 21173
16330 25129
7740 24760
25129 31884
25590 37635
3705 15568
30312 38212
30967 31742
37677 48150
1332 9269
29528 29531
4608 53351
11318 12974
13932 25080
18376 20329
20064 30023
1612 54788
8418 27395
834 41179
3875 14884
8397 12321
49028 49034
1831 1845
18920 22199
5034 10329
3679 17233
8440 16943
24282 25858
8624 8667
25125 26324
5054 17727
5873 6265
43817 43818
4140 13494
18544 24644
20962 32392
11837 28906
17047 24770
20906 37967
5455 6155
14686 16284
3544 6712
18874 36520
17380 48022
2492 7611
3546 14993
19112 26877
3603 20759
8454 10988
27534 33722
1604 1630
13474 25316
15110 23656
33661 34677
9290 27129
1506 41101
13153 23324
4420 15618
9128 13851
31056 34510
28405 41010
34207 34208
26415 40442
24305 26159
